1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC(0.5)
95,Cifar100,FedALA,93,3.200171596990308,0.2485343521507147,0.873199024359386,0.13856221295937649,0.04815398716500192
96,Cifar100,FedALA,94,3.197569592788014,0.24642645412028194,0.8733707147026355,0.1364445235242344,0.04834126604765761
97,Cifar100,FedALA,95,3.193093316204134,0.24807324945655754,0.8737485890491117,0.13767698812249887,0.04791257350689972
98,Cifar100,FedALA,96,3.1905561495136623,0.249324813912127,0.8736959676859445,0.13671905341219526,0.04812032131454437
99,Cifar100,FedALA,97,3.1878631246489064,0.2503787629273434,0.8739487738601422,0.13941983430518626,0.04795901593547021
100,Cifar100,FedALA,98,3.1857125366267356,0.2485343521507147,0.8740349267447565,0.13770785744811184,0.04786988901033194
101,Cifar100,FedALA,99,3.1808389686119014,0.2480073776431065,0.8744270554299504,0.13775124171755643,0.047593866537679046
102,Cifar100,FedALA,100,3.1817145114931047,0.24695342862789013,0.8741523318628686,0.13560729732850116,0.047888229204162976
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedProx,0,4.616148001441786,0.009287925696594427,0.5019225793459141,0.020087653556514685,0.1046251435653638
3,Cifar100,FedProx,1,4.588576360921788,0.009749028390751598,0.554779143689954,0.020000224057824267,0.10248690876630503
4,Cifar100,FedProx,2,4.559023941767085,0.018839338646992953,0.5883386650924909,0.0342680210351599,0.10127788768703123
5,Cifar100,FedProx,3,4.51980213313773,0.027929648903234305,0.6157938864339275,0.051188869163265885,0.09824832445457644
6,Cifar100,FedProx,4,4.476689100546733,0.035702522890455175,0.6384175574368965,0.0571686424494915,0.0947609889335512
7,Cifar100,FedProx,5,4.429327533677966,0.04360714050457809,0.6601134762070412,0.06187324590109563,0.08983978188996662
8,Cifar100,FedProx,6,4.381438779523743,0.049206244647915155,0.6792543778425049,0.06646290352933344,0.08522953519332253
9,Cifar100,FedProx,7,4.3355582372623696,0.0528291943877215,0.6953403658762305,0.06848950853414716,0.08152844845308299
10,Cifar100,FedProx,8,4.297273575442963,0.05625452868717476,0.7075669558460757,0.06840404970494761,0.07903675693463283
11,Cifar100,FedProx,9,4.258426313099136,0.06093142744219748,0.7186070202030594,0.0694364724878117,0.0764330424618086
12,Cifar100,FedProx,10,4.222712247603797,0.06409327448784664,0.7282928463086016,0.07095017257960777,0.07258804162936054
13,Cifar100,FedProx,11,4.190720225232838,0.06758448060075094,0.7361051279891392,0.06971214702446596,0.07068748948205796
14,Cifar100,FedProx,12,4.163227827706254,0.07292009749028391,0.741899210218679,0.07386298890095341,0.06985029395487256
15,Cifar100,FedProx,13,4.138079379931216,0.0764113036031882,0.7471190597808661,0.07495212520871603,0.06936229412440417
16,Cifar100,FedProx,14,4.115008174091315,0.078585073447072,0.751444676117472,0.0762425922928117,0.06900263636303104
17,Cifar100,FedProx,15,4.091566089536326,0.08273499769448653,0.7564813225275403,0.07721055807099228,0.06725626697470856
18,Cifar100,FedProx,16,4.06758533948866,0.08668730650154799,0.7616694248472783,0.07943855744818343,0.06430617036842859
19,Cifar100,FedProx,17,4.044551545690359,0.08938805085303998,0.7672196298594888,0.08068898155135362,0.061697333237071855
